"id","publisher","title","URL","accessed_at","geography","source_type","supports","limitation"
"CODE001","Zavoia admin-api","Plan tier and feature source of truth","../admin-api/src/types/plan.ts","2026-07-13","Zavoia","local_code","STANDARD PLUS CUSTOM self-serve ordering and websiteBuilder feature flag","Working-tree code proves repository behavior only; deployment and production plan records are not inferred"
"CODE002","Zavoia admin-api","Plan entity and regional pricing","../admin-api/src/entities/plan.entity.ts","2026-07-13","Zavoia","local_code","Base and non-owner seat Stripe price identifiers plus plan location and team limits","Stores identifiers and limits but no authoritative production monetary amount"
"CODE003","Zavoia admin-api","Regional plan-pricing entity","../admin-api/src/entities/plan-pricing.entity.ts","2026-07-13","Zavoia","local_code","Country and currency regional Stripe price overrides","Production row contents were unavailable"
"CODE004","Zavoia admin-api","Entitlement service","../admin-api/src/modules/entitlements/entitlements.service.ts","2026-07-13","Zavoia","local_code","LTD trial subscription priority; Standard-only trial feature behavior; owner excluded from billable seats","Code presence is not production-state evidence"
"CODE005","Zavoia admin-api","Billing service","../admin-api/src/modules/billing/billing.service.ts","2026-07-13","Zavoia","local_code","Base plus seat Stripe subscription; live amount lookup; proration/SCA upgrades; period-end downgrades; no automatic tax or attached tax rate in checkout","Production Stripe catalogue and negotiated fees were excluded"
"CODE006","Zavoia admin-api","Signup wizard trial assignment","../admin-api/src/modules/wizard/wizard.controller.ts","2026-07-13","Zavoia","local_code","14-day Standard trial assignment","Does not establish trial conversion or retention"
"CODE007","Zavoia admin-api","Appointment entity","../admin-api/src/entities/appointment.entity.ts","2026-07-13","Zavoia","local_code","SERVICE BUNDLE COMPOSITE appointment types; snapshots and dormant recurrence fields","Fields alone do not prove an operational recurring-series journey"
"CODE008","Zavoia admin-api","Marketplace public search service","../admin-api/src/modules/marketplace/public/marketplace-public.service.ts","2026-07-13","Zavoia","local_code","Fuzzy business and location search; Romanian taxonomy tags; structured geography service staff and availability filtering; relaxation ladder","Service-text search remains incomplete; unaccent deployment is not provisioned by the cited initial migration"
"CODE009","Zavoia admin-api","Initial database migration","../admin-api/src/migrations/1783170407985-Init.ts","2026-07-13","Zavoia","local_code","Creates postgis and pg_trgm extensions","Does not create unaccent although current search calls it"
"CODE010","Zavoia admin-api","Marketplace appointments service","../admin-api/src/modules/marketplace/appointments/appointments.service.ts","2026-07-13","Zavoia","local_code","Booking transaction; grouping; cancel/reschedule; process-local 10-minute idempotency map; conflict recheck","No durable cross-process idempotency or database overlap constraint was found"
"CODE011","Zavoia admin-api","Appointment run grouping","../admin-api/src/modules/appointment/run-grouping.ts","2026-07-13","Zavoia","local_code","Sequential multi-item grouping and composite runs for same staff","Does not implement multi-customer class capacity"
"CODE012","Zavoia admin-api","Marketplace booking DTO","../admin-api/src/modules/marketplace/appointments/dto/create-booking.dto.ts","2026-07-13","Zavoia","local_code","Service and bundle item booking with staff selection","No appointment payment or recurring-series input"
"CODE013","Zavoia website repositories","Published website consumer search","../zavoia-web/src/app/[locale]/business/[slug]/page.tsx","2026-07-13","Zavoia","local_code_search","Ordinary business listing is noindex and no customer repo consumes the WIP website published snapshot","Absence is limited to audited current repositories and working tree"
"CODE014","Zavoia admin-api","Website section registry","../admin-api/src/modules/website-builder/section-registry.ts","2026-07-13","Zavoia","local_code","12 section types and 37 variant keys with base required and pinned rules","Module was untracked in the API working tree at audit time"
"CODE015","Zavoia admin-dashboard","Website renderer catalogue","src/features/website/components/builder/sectionCatalog.ts","2026-07-13","Zavoia","local_code","Dashboard renderer implementations for 12 types and 37 variants","Dashboard renderers do not constitute a public merchant website"
"CODE016","Zavoia admin-api","Website builder publish service","../admin-api/src/modules/website-builder/website-builder.service.ts","2026-07-13","Zavoia","local_code","WIP draft version validation freeze publish and unpublish behavior","Uncommitted working-tree code; deployment is not inferred"
"CODE017","Zavoia admin-api","Marketplace listing website snapshot fields","../admin-api/src/entities/businessMarketplaceListing.entity.ts","2026-07-13","Zavoia","local_code","WIP draft and published website snapshot metadata","Entity modifications were uncommitted"
